Codmundv,municipality_name
3556305,Valparaíso
3556404,Vargem Grande do Sul
3556453,Vargem Grande Paulista
3556503,Várzea Paulista
3556701,Vinhedo
3557006,Votorantim
3557105,Votuporanga
4100400,Almirante Tamandaré
4100509,Altônia
4100608,Alto Paraná
4100806,Alvorada do Sul
4101002,Ampére
4101101,Andirá
4101200,Antonina
4101408,Apucarana
4101606,Arapoti
4101705,Araruna
4101804,Araucária
4102000,Assis Chateaubriand
4102109,Astorga
4102505,Barbosa Ferraz
4102604,Barracão
4102802,Bela Vista do Paraíso
4103008,Boa Esperança
4103107,Bocaiúva do Sul
4103602,Cambará
4103800,Cambira
4104006,Campina Grande do Sul
4104204,Campo Largo
4104303,Campo Mourão
4104451,Cantagalo
4104501,Capanema
4104600,Capitão Leônidas Marques
4104659,Carambeí
4104709,Carlópolis
4104907,Castro
4105102,Centenário do Sul
4105508,Cianorte
4105607,Cidade Gaúcha
4105904,Colorado
4106308,Corbélia
4106605,Cruzeiro do Oeste
4106803,Cruz Machado
4107009,Curiúva
4107108,Diamante do Norte
4107306,Doutor Camargo
4107504,Engenheiro Beltrão
4107801,Floraí
4108007,Florestópolis
4108403,Francisco Beltrão
4108601,Goioerê
4108809,Guaíra
4108957,Guamiranga
4109104,Guaporema
4109401,Guarapuava
4109609,Guaratuba
4109708,Ibaiti
4109807,Ibiporã
4109906,Icaraíma
4110003,Iguaraçu
4110078,Imbaú
4110102,Imbituva
4110409,Indianópolis
4110508,Ipiranga
4110607,Iporã
4110706,Irati
4110904,Itaguajé
4111100,Itambé
4111407,Ivaí
4111506,Ivaiporã
4111555,Ivaté
4111605,Ivatuba
4111803,Jacarezinho
4111902,Jaguapitã
4112009,Jaguariaíva
4112108,Jandaia do Sul
4112405,Japurá
4112702,Jataizinho
4113205,Lapa
4113304,Laranjeiras do Sul
4113734,Luiziana
4113809,Lupionópolis
4113908,Mallet
4114005,Mamborê
4114104,Mandaguaçu
4114203,Mandaguari
4114302,Mandirituba
4114807,Marialva
4115358,Maripá
4115408,Marmeleiro
4115804,Medianeira
4116059,Missal
4116307,Munhoz de Melo
4116901,Nova Esperança
4117057,Nova Laranjeiras
4117107,Nova Londrina
4117222,Nova Santa Rosa
4117305,Ortigueira
4117503,Paiçandu
4117800,Palmital
4117909,Palotina
4118006,Paraíso do Norte
4118402,Paranavaí
4118501,Pato Branco
4118907,Pérola
4119004,Pérola d'Oeste
4119103,Piên
4119202,Pinhalão
4119608,Pitanga
4119806,Planalto
4119954,Pontal do Paraná
4120408,Presidente Castelo Branco
4120606,Prudentópolis
4120804,Quatro Barras
4120903,Quedas do Iguaçu
4121000,Querência do Norte
4121109,Quinta do Sol
4121208,Quitandinha
4121307,Rancho Alegre
4121406,Realeza
4121505,Rebouças
4121604,Renascença
4121703,Reserva
4121802,Ribeirão Claro
4122008,Rio Azul
4122156,Rio Bonito do Iguaçu
4122172,Rio Branco do Ivaí
4122206,Rio Branco do Sul
4122404,Rolândia
4122503,Roncador
4123006,Salto do Lontra
4123402,Santa Fé
4123709,Santa Isabel do Ivaí
4123808,Santa Izabel do Oeste
4124053,Santa Terezinha de Itaipu
4124103,Santo Antônio da Platina
4124400,Santo Antônio do Sudoeste
4124608,São Carlos do Ivaí
4124905,São João do Caiuá
4125308,São Jorge do Ivaí
4125605,São Mateus do Sul
4125704,São Miguel do Iguaçu
4125803,São Pedro do Ivaí
4126009,São Sebastião da Amoreira
4126108,São Tomé
4126256,Sarandi
4126355,Serranópolis do Iguaçu
4126504,Sertanópolis
4126603,Siqueira Campos
4126678,Tamarana
4127007,Teixeira Soares
4127106,Telêmaco Borba
4127304,Terra Rica
4127403,Terra Roxa
4127601,Tijucas do Sul
4127700,Toledo
4127809,Tomazina
4127908,Tuneiras do Oeste
4127965,Turvo
4128005,Ubiratã
4128104,Umuarama
4128203,União da Vitória
4128807,Xambrê
4200101,Abelardo Luz
4200408,Água Doce
4200507,Águas de Chapecó
4201208,Antônio Carlos
4201307,Araquari
4201406,Araranguá
4201703,Ascurra
4201950,Balneário Arroio do Silva
4202008,Balneário Camboriú
4202057,Balneário Barra do Sul
4202073,Balneário Gaivota
4202107,Barra Velha
4202206,Benedito Novo
4202305,Biguaçu
4202453,Bombinhas
4202800,Braço do Norte
4202909,Brusque
4203006,Caçador
4203105,Caibi
4203204,Camboriú
4203303,Campo Alegre
4203402,Campo Belo do Sul
4203600,Campos Novos
4203808,Canoinhas
4203907,Capinzal
4203956,Capivari de Baixo
4204004,Catanduvas
4204202,Chapecó
4204251,Cocal do Sul
4204301,Concórdia
4204509,Corupá
4204558,Correia Pinto
4204608,Criciúma
4204707,Cunha Porã
4204806,Curitibanos
4205001,Dionísio Cerqueira
4205308,Faxinal dos Guedes
4205407,Florianópolis
4205456,Forquilhinha
4205506,Fraiburgo
4205704,Garopaba
4205803,Garuva
4205902,Gaspar
4206009,Governador Celso Ramos
4206108,Grão-Pará
4206207,Gravatal
4206306,Guabiruba
4206405,Guaraciaba
4206504,Guaramirim
4206652,Guatambú
4206702,Herval d'Oeste
4206900,Ibirama
4207007,Içara
4207106,Ilhota
4207304,Imbituba
4207502,Indaial
4207684,Ipuaçu
4208005,Itá
4208104,Itaiópolis
4208203,Itajaí
4208302,Itapema
4208450,Itapoá
4208500,Ituporanga
4208708,Jacinto Machado
4208807,Jaguaruna
4208906,Jaraguá do Sul
4209003,Joaçaba
4209102,Joinville
4209300,Lages
4209409,Laguna
4209607,Lauro Müller
4209706,Lebon Régis
4209904,Lontras
4210001,Luiz Alves
4210035,Luzerna
4210100,Mafra
4210506,Maravilha
4211207,Morro da Fumaça
4211306,Navegantes
4211504,Nova Trento
4211603,Nova Veneza
4211702,Orleans
4211751,Otacílio Costa
4211801,Ouro
4211850,Ouro Verde
4212106,Palmitos
4212254,Passo de Torres
4212502,Penha
4212809,Balneário Piçarras
4212908,Pinhalzinho
4213203,Pomerode
4213401,Ponte Serrada
4213500,Porto Belo
4213609,Porto União
4213807,Praia Grande
4214409,Rio das Antas
4214706,Rio dos Cedros
4214805,Rio do Sul
4215000,Rio Negrinho
4215455,Sangão
4215703,Santo Amaro da Imperatriz
4215802,São Bento do Sul
4216206,São Francisco do Sul
4216305,São João Batista
4216503,São Joaquim
4216800,São José do Cerrito
4216909,São Lourenço do Oeste
4217204,São Miguel do Oeste
4217303,Saudades
4217501,Seara
4217600,Siderópolis
4217709,Sombrio
4217808,Taió
4217907,Tangará
4218004,Tijucas
4218103,Timbé do Sul
4218202,Timbó
4218301,Três Barras
4218400,Treze de Maio
4218509,Treze Tílias
4218707,Tubarão
4219002,Urussanga
4219309,Videira
4219507,Xanxerê
4219705,Xaxim
4220000,Balneário Rincão
4300059,Água Santa
4300406,Alegrete
4300505,Alpestre
4300604,Alvorada
4300802,Antônio Prado
4300901,Aratiba
4301008,Arroio do Meio
4301057,Arroio do Sal
4301073,Arroio do Padre
4301107,Arroio dos Ratos
4301206,Arroio do Tigre
4301305,Arroio Grande
4301404,Arvorezinha
4301503,Augusto Pestana
4301602,Bagé
4301636,Balneário Pinhal
4301909,Barra do Ribeiro
4302105,Bento Gonçalves
4302352,Bom Princípio
4302402,Bom Retiro do Sul
4302709,Butiá
4302808,Caçapava do Sul
4302907,Cacequi
4303004,Cachoeira do Sul
4303103,Cachoeirinha
4303509,Camaquã
4304200,Candelária
4304309,Cândido Godói
4304408,Canela
4304507,Canguçu
4304606,Canoas
4304630,Capão da Canoa
4304705,Carazinho
4304713,Caraá
4304804,Carlos Barbosa
4304903,Casca
4305108,Caxias do Sul
4305207,Cerro Largo
4305306,Chapada
4305355,Charqueadas
4305371,Charrua
4305504,Ciríaco
4305702,Condor
4306007,Crissiumal
4306056,Cristal
4306106,Cruz Alta
4306403,Dois Irmãos
4306601,Dom Pedrito
4306767,Eldorado do Sul
4306809,Encantado
4306908,Encruzilhada do Sul
4306932,Entre-Ijuís
4307005,Erechim
4307500,Espumoso
4307609,Estância Velha
4307708,Esteio
4307807,Estrela
4307815,Estrela Velha
4307906,Farroupilha
4308102,Feliz
4308201,Flores da Cunha
4308508,Frederico Westphalen
4308607,Garibaldi
4308805,General Câmara
4308904,Getúlio Vargas
4309001,Giruá
4309100,Gramado
4309209,Gravataí
4309308,Guaíba
4309407,Guaporé
4309506,Guarani das Missões
4309555,Harmonia
4309605,Horizontina
4309902,Ibiraiaras
4310009,Ibirubá
4310108,Igrejinha
4310207,Ijuí
4310330,Imbé
4310439,Ipê
4310603,Itaqui
4310801,Ivoti
4310900,Jacutinga
4311007,Jaguarão
4311106,Jaguari
4311205,Júlio de Castilhos
4311304,Lagoa Vermelha
4311403,Lajeado
4311502,Lavras do Sul
4311759,Manoel Viana
4311775,Maquiné
4311809,Marau
4311981,Mariana Pimentel
4312138,Mato Castelhano
4312302,Miraguaí
4312401,Montenegro
4312450,Morro Redondo
4312476,Morro Reuter
4312609,Muçum
4312658,Não-Me-Toque
4312708,Nonoai
4313060,Nova Hartz
4313201,Nova Petrópolis
4313300,Nova Prata
4313375,Nova Santa Rita
4313391,Novo Cabrais
4313409,Novo Hamburgo
4313508,Osório
4313656,Palmares do Sul
4313706,Palmeira das Missões
4313904,Panambi
4313953,Pantano Grande
4314001,Paraí
4314050,Parobé
4314076,Passo do Sobrado
4314100,Passo Fundo
4314308,Pejuçara
4314407,Pelotas
4314506,Pinheiro Machado
4314548,Pinto Bandeira
4314803,Portão
4314902,Porto Alegre
4315107,Porto Xavier
4315305,Quaraí
4315354,Quinze de Novembro
4315503,Restinga Sêca
4315602,Rio Grande
4315701,Rio Pardo
4315909,Rodeio Bonito
4316105,Ronda Alta
4316402,Rosário do Sul
4316451,Salto do Jacuí
4316600,Sananduva
4316808,Santa Cruz do Sul
4316907,Santa Maria
4317004,Santana da Boa Vista
4317103,Sant'Ana do Livramento
4317202,Santa Rosa
4317301,Santa Vitória do Palmar
4317400,Santiago
4317509,Santo Ângelo
4317608,Santo Antônio da Patrulha
4317707,Santo Antônio das Missões
4317806,Santo Augusto
4317905,Santo Cristo
4318002,São Borja
4318101,São Francisco de Assis
4318200,São Francisco de Paula
4318408,São Jerônimo
4318507,São José do Norte
4318705,São Leopoldo
4318804,São Lourenço do Sul
4318903,São Luiz Gonzaga
4319000,São Marcos
4319406,São Pedro do Sul
4319505,São Sebastião do Caí
4319604,São Sepé
4319901,Sapiranga
4320008,Sapucaia do Sul
4320107,Sarandi
4320206,Seberi
4320404,Serafina Corrêa
4320503,Sertão
4320651,Silveira Martins
4320701,Sobradinho
4320800,Soledade
4320909,Tapejara
4321006,Tapera
4321105,Tapes
4321402,Tenente Portela
4321451,Teutônia
4321501,Torres
4321600,Tramandaí
4321667,Três Cachoeiras
4321709,Três Coroas
4321808,Três de Maio
4321907,Três Passos
4322004,Triunfo
4322202,Tupanciretã
4322301,Tuparendi
4322400,Uruguaiana
4322509,Vacaria
4322533,Vale do Sol
4322541,Vale Real
4322608,Venâncio Aires
4322707,Vera Cruz
4322806,Veranópolis
4323002,Viamão
4323804,Xangri-lá
5000609,Amambai
5000807,Anaurilândia
5000856,Angélica
5001102,Aquidauana
5001904,Bataguassu
5002209,Bonito
5002407,Caarapó
5002605,Camapuã
5002704,Campo Grande
5002902,Cassilândia
5002951,Chapadão do Sul
5003207,Corumbá
5003256,Costa Rica
5003702,Dourados
5003801,Fátima do Sul
5004403,Inocência
5004700,Ivinhema
5005004,Jardim
5005202,Ladário
5005400,Maracaju
5005681,Mundo Novo
5005707,Naviraí
5005806,Nioaque
5006002,Nova Alvorada do Sul
5006200,Nova Andradina
5006309,Paranaíba
5007109,Ribas do Rio Pardo
5007208,Rio Brilhante
5007695,São Gabriel do Oeste
5007935,Sonora
5007950,Tacuru
5008305,Três Lagoas
5008404,Vicentina
5100250,Alta Floresta
5101258,Araputanga
5101704,Barra do Bugres
5101803,Barra do Garças
5102504,Cáceres
5102637,Campo Novo do Parecis
5102702,Canarana
5103007,Chapada dos Guimarães
5103205,Colíder
5103254,Colniza
5103353,Confresa
5103379,Cotriguaçu
5103403,Cuiabá
5104104,Guarantã do Norte
5105101,Juara
5105150,Juína
5105259,Lucas do Rio Verde
5105606,Matupá
5105622,Mirassol d'Oeste
5105903,Nobres
5106109,Nossa Senhora do Livramento
5106224,Nova Mutum
5106299,Paranaíta
5106307,Paranatinga
5106752,Pontes e Lacerda
5107040,Primavera do Leste
5107065,Querência
5107800,Santo Antônio do Leverger
5107909,Sinop
5107925,Sorriso
5107958,Tangará da Serra
5108402,Várzea Grande
5200050,Abadia de Goiás
5200100,Abadiânia
5200134,Acreúna
5200258,Águas Lindas de Goiás
5200308,Alexânia
5200605,Alto Paraíso de Goiás
5201108,Anápolis
5201306,Anicuns
5201454,Aparecida do Rio Doce
5201603,Araçu
5201702,Aragarças
5201801,Aragoiânia
5203203,Barro Alto
5203302,Bela Vista de Goiás
5203401,Bom Jardim de Goiás
5203500,Bom Jesus de Goiás
5203807,Britânia
5204102,Cachoeira Alta
5204250,Cachoeira Dourada
5204300,Caçu
5204409,Caiapônia
5204508,Caldas Novas
5204557,Caldazinha
5204706,Campinorte
5204854,Campo Limpo de Goiás
5204904,Campos Belos
5205059,Castelândia
5205406,Ceres
5205455,Cezarina
5205513,Cocalzinho de Goiás
5205703,Córrego do Ouro
5205802,Corumbá de Goiás
5205901,Corumbaíba
5206206,Cristalina
5206404,Crixás
5207105,Diorama
5207352,Edealina
5207402,Edéia
5207808,Firminópolis
5208103,Formoso
5208152,Gameleira de Goiás
5208400,Goianápolis
5208608,Goianésia
5208806,Goianira
5209101,Goiatuba
5209150,Gouvelândia
5209457,Guarinos
5209903,Iaciara
5209952,Indiara
5210000,Inhumas
5210109,Ipameri
5210208,Iporá
5210901,Itapaci
5211206,Itapuranga
5211503,Itumbiara
5211701,Jandaia
5211800,Jaraguá
5211909,Jataí
5212105,Joviânia
5212204,Jussara
5212501,Luziânia
5213004,Maurilândia
5213087,Minaçu
5213707,Montes Claros de Goiás
5213756,Montividiu
5213806,Morrinhos
5214002,Mozarlândia
5214051,Mundo Novo
5214507,Nerópolis
5214838,Nova Crixás
5215207,Novo Brasil
5215231,Novo Gama
5215306,Orizona
5215405,Ouro Verde de Goiás
5215504,Ouvidor
5215603,Padre Bernardo
5215702,Palmeiras de Goiás
5216403,Paraúna
5216908,Pilar de Goiás
5217104,Piracanjuba
5217203,Piranhas
5217302,Pirenópolis
5217401,Pires do Rio
5217609,Planaltina
5217708,Pontalina
5218003,Porangatu
5218102,Portelândia
5218300,Posse
5218607,Rialma
5218789,Rio Quente
5218805,Rio Verde
5218904,Rubiataba
5219001,Sanclerlândia
5219100,Santa Bárbara de Goiás
5219308,Santa Helena de Goiás
5219506,Santa Rosa de Goiás
5219704,Santa Terezinha de Goiás
5219712,Santo Antônio da Barra
5219738,Santo Antônio de Goiás
5219753,Santo Antônio do Descoberto
5220108,São Luís de Montes Belos
5220207,São Miguel do Araguaia
5220405,São Simão
5220504,Serranópolis
5221197,Terezópolis de Goiás
5221403,Trindade
5221502,Turvânia
5221601,Uruaçu
5221700,Uruana
5221809,Urutaí
5222054,Vicentinópolis
5222302,Vila Propício
5300108,Brasília
